date,open,high,low,close,volume,pct,Log_Return,sigma,dayofweek,daysLeft,strike,near_option,strategy_on,strike_real,is_strike
2021-11-10,336.8,359.37,329.1,355.98,128408100,0.043409443972213246,0.042493662717401307,0.5378279744482175,2,8,370.7383436307132,372.5,,442.5,
2021-11-11,367.59,368.32,351.56,354.5,67189800,-0.00415753694027754,-0.004166203526424683,0.5345487950338164,3,7,384.65040180413206,387.5,1.0,427.5,
2021-11-12,349.17,351.5,339.73,344.47,76719300,-0.028293370944992846,-0.028701342038981937,0.5345876527046446,4,6,380.69001076377685,382.5,,440.0,0.0
2021-11-15,339.21,343.99,326.2,337.8,104326800,-0.019363079513455506,-0.0195529995595005,0.5350307376428513,0,10,377.6742323720853,380.0,,442.5,
2021-11-16,334.44,352.4,334.06,351.58,79627200,0.040793368857311885,0.039983276998045124,0.5360589259835852,1,9,368.64309186155435,370.0,,447.5,
2021-11-17,354.5,373.21,351.83,363.0,94336200,0.032481938676830246,0.031965552893105764,0.5357956610775247,2,8,381.8292328588582,385.0,,425.0,
2021-11-18,368.85,370.67,358.34,365.46,62696700,0.006776859504132204,0.006753999811597449,0.5351164323253298,3,7,392.1209964799331,395.0,1.0,372.5,
2021-11-19,366.29,379.57,364.23,379.02,64926900,0.037103923822032536,0.0364321400622158,0.5353308671363173,4,6,392.4894277296948,395.0,,387.5,0.0
2021-11-22,387.44,400.65,377.48,385.62,99217500,0.017413329111920284,0.017263454472585864,0.5340624106795223,0,10,415.60775281437736,417.5,,382.5,
2021-11-23,389.17,393.5,354.23,369.68,108515100,-0.04133603028888544,-0.042214662049238884,0.5358969518991059,1,9,420.76279125317575,422.5,,380.0,
2021-11-24,360.13,377.59,354.0,372.0,67680600,0.006275697900887334,0.006256087711135693,0.5317446674071262,2,8,401.47650777858706,405.0,,370.0,
2021-11-25,360.13,377.59,354.0,372.0,67680600,0.006275697900887334,0.0,0.5316466426642744,3,7,401.6086210587099,405.0,1.0,385.0,
2021-11-26,366.49,369.59,360.33,360.64,35042700,-0.030537634408602132,-0.031013623421735057,0.5274072320469713,4,6,399.328328662885,402.5,,395.0,0.0
2021-11-29,367.0,380.89,366.73,379.0,58393500,0.050909494232475705,0.04965597423101497,0.528414214527818,0,10,394.91445810375416,397.5,,395.0,
