date,open,high,low,close,volume,pct,Log_Return,sigma,dayofweek,daysLeft,strike,near_option,strategy_on,strike_real,is_strike
2021-11-30,335.32,337.78,328.99,330.59,42885600,-0.017942548198318642,-0.018105467449319592,0.19857587854096814,1,9,347.6863701620553,350.0,,357.5,
2021-12-01,335.13,339.28,329.39,330.08,33337600,-0.0015426963913003355,-0.0015438875726232445,0.1985849109637441,2,8,340.85370532384303,342.5,,352.5,
2021-12-02,330.3,333.49,327.8,329.49,30766000,-0.001787445467765325,-0.0017890448545774067,0.19860539439014432,3,7,339.6569413681479,342.5,1.0,350.0,
2021-12-03,331.99,332.7,318.03,323.01,41779300,-0.019666757716470973,-0.019862721972629005,0.19853301672184737,4,6,338.3321734850671,340.0,,350.0,0.0
2021-12-06,323.95,327.45,319.23,326.19,30032600,0.009844896442834594,0.009796751182032517,0.19870256203909764,0,10,334.2399532670498,337.5,,350.0,
2021-12-07,331.64,335.8,330.1,334.92,31021900,0.02676354272050041,0.026411663658463407,0.2001739074343244,1,9,336.94840040588883,340.0,,342.5,
2021-12-08,335.31,335.5,330.8,334.97,24761000,0.00014928938253921942,0.0001492782399883125,0.19949770042447137,2,8,345.4031118732186,347.5,,350.0,
2021-12-09,334.41,336.49,332.12,333.1,22214200,-0.005582589485625622,-0.005598230376585394,0.1995782376994656,3,7,344.7341369504394,347.5,1.0,342.5,
2021-12-10,334.98,343.0,334.79,342.54,38095700,0.028339837886520503,0.027945694004588788,0.20076337568606648,4,6,342.08342325346183,345.0,,342.5,1.0
2021-12-13,340.68,343.79,339.08,339.4,28899400,-0.009166812635020838,-0.009209086404096985,0.20096831184234323,0,10,354.5850573170502,357.5,,340.0,
2021-12-14,333.22,334.64,324.11,328.34,44438700,-0.03258691809074843,-0.033129695933753846,0.20395344938856738,1,9,350.723842009937,352.5,,337.5,
2021-12-15,328.61,335.19,324.5,334.65,35381100,0.019217883900834565,0.019035552680279125,0.20453431708910888,2,8,338.8142645715179,342.5,,340.0,
2021-12-16,335.71,336.76,323.02,324.9,35034800,-0.029134917077543676,-0.029567766871596565,0.20682947209402394,3,7,344.6547294932871,347.5,1.0,347.5,
2021-12-17,320.88,324.92,317.25,323.8,47750300,-0.0033856571252691703,-0.0033914014315197193,0.20650358666514917,4,6,333.9850450458495,337.5,,347.5,0.0
2021-12-20,320.05,322.8,317.57,319.91,28326500,-0.012013588634959826,-0.012086335007961085,0.20694164821947036,0,10,335.51745664489556,337.5,,345.0,
2021-12-21,323.29,327.73,319.8,327.29,24740600,0.023068988152918024,0.02280692179533706,0.20803593007606935,1,9,330.90621191052253,332.5,,357.5,
2021-12-22,328.3,333.61,325.75,333.2,24831500,0.018057380304928206,0.01789628226177679,0.20738654477009855,2,8,337.94312420370477,340.0,,352.5,
2021-12-23,332.75,336.39,332.73,334.69,19617800,0.004471788715486147,0.00446181997601098,0.2074037626626495,3,7,343.30237645386444,345.0,1.0,342.5,
2021-12-24,332.75,336.39,332.73,334.69,19617800,0.004471788715486147,0.0,0.20550132450151784,4,6,344.0751457715019,347.5,,347.5,0.0
2021-12-27,335.46,342.48,335.43,342.45,19947000,0.023185634467716376,0.022920931375215555,0.20490563712246507,0,10,346.741707634818,350.0,,337.5,
2021-12-28,343.15,343.81,340.32,341.25,15661500,-0.003504161191414723,-0.003510315144744655,0.20492845418747066,1,9,354.1032175007928,357.5,,337.5,
2021-12-29,341.3,344.3,339.68,341.95,15042000,0.0020512820512819108,0.0020491810449354236,0.20460339965186033,2,8,352.188968817201,355.0,,332.5,
2021-12-30,341.91,343.13,338.82,339.32,15994500,-0.0076911829214797445,-0.007720912604571052,0.20436908826674308,3,7,352.17647500268464,355.0,1.0,340.0,
2021-12-31,338.51,339.36,335.85,336.32,18000800,-0.008841211835435625,-0.008880527250947741,0.2045925985758402,4,6,348.69385111098916,350.0,,345.0,0.0
2022-01-03,335.35,338.0,329.78,334.75,28865100,-0.0046681731684110606,-0.00467910311730444,0.2039647135153259,0,10,348.37590092344254,350.0,,347.5,
2022-01-04,334.83,335.2,326.12,329.01,32674300,-0.017147124719940288,-0.017295839131054723,0.20482669488622665,1,9,346.08801032783504,347.5,,350.0,
2022-01-05,325.86,326.07,315.98,316.38,40054300,-0.03838789094556394,-0.03914412266979376,0.2088596787708045,2,8,339.55128840234084,342.5,,357.5,
2022-01-06,313.15,318.7,311.49,313.88,39646100,-0.007901890132119616,-0.00793327551116096,0.20844821700778313,3,7,326.0415745298683,327.5,1.0,355.0,
2022-01-07,314.15,316.5,310.09,314.04,32720000,0.000509748948642974,0.0005096190707825135,0.2055731316985661,4,6,322.726548546431,325.0,,355.0,0.0
2022-01-10,309.49,314.72,304.69,314.27,44289500,0.0007323907782446071,0.0007321227109972463,0.2055687033556433,0,10,325.3521523698544,327.5,,350.0,
2022-01-11,313.38,316.61,309.89,314.98,29386800,0.002259203869284576,0.0022566557053825685,0.20554849878730383,1,9,324.99947179672705,327.5,,350.0,
2022-01-12,319.67,323.41,317.08,318.27,34372200,0.010445107625880912,0.010390934392855156,0.20524248280025903,2,8,325.1079042716239,327.5,,347.5,
2022-01-13,320.47,320.88,304.0,304.8,45366000,-0.04232255632010551,-0.04324425532679859,0.20972931715116905,3,7,327.8184649122239,330.0,1.0,342.5,
2022-01-14,304.25,310.82,303.75,310.2,39846400,0.017716535433070835,0.017561426929947208,0.21037202935155871,4,6,313.4441721639025,315.0,,327.5,0.0
