date,open,high,low,close,volume,pct,Log_Return,sigma,dayofweek,daysLeft,strike,near_option,strategy_on,strike_real,is_strike
2021-12-20,379.57,381.5,377.47,380.69,65336800,-0.01096360188095924,-0.0110241450851296,0.1797241090939915,0,10,396.9783377525941,398.0,,404.0,
2021-12-21,384.05,389.53,380.2,389.21,48899500,0.022380414510493996,0.022133648071197855,0.18098768288679457,1,9,392.02900439980186,393.0,,411.0,
2021-12-22,388.91,394.16,388.23,393.95,37042200,0.012178515454381866,0.01210495397919556,0.18070043370333222,2,8,400.2084142985969,401.0,,405.0,
2021-12-23,394.31,398.43,394.14,396.92,29595500,0.007539027795405495,0.007510751354343647,0.1806736027725315,3,7,404.3372311725089,405.0,1.0,400.0,
2021-12-24,394.31,398.43,394.14,396.92,29595500,0.007539027795405495,0.0,0.1800555827710267,4,6,406.59836608461,408.0,,408.0,0.0
2021-12-27,398.25,403.48,398.22,403.48,32820700,0.0165272599012396,0.01639217114059394,0.1792516546868956,0,10,409.41523341009105,410.0,,397.0,
2021-12-28,404.4,404.58,400.71,401.61,33113700,-0.0046346782988004875,-0.004645451720718656,0.17894722599373272,1,9,415.46575690247295,416.0,,398.0,
2021-12-29,401.75,403.05,399.11,401.55,32248500,-0.00014939867035179688,-0.00014940983144479713,0.17827556029586622,2,8,412.82909997696447,414.0,,393.0,
2021-12-30,401.33,403.57,399.75,400.35,23850100,-0.002988419872992143,-0.002992894115828358,0.17830128739372525,3,7,411.99370928868484,413.0,1.0,401.0,
2021-12-31,399.66,401.06,397.34,397.85,34752900,-0.006244536030972858,-0.006264114695098959,0.17835294247823283,4,6,409.9822934779318,411.0,,405.0,0.0
2022-01-03,399.05,401.94,396.88,401.68,40575900,0.009626743747643607,0.009580701902906243,0.17845101782905737,0,10,410.25424877850935,411.0,,408.0,
2022-01-04,402.24,402.28,393.29,396.47,58027200,-0.012970523800039824,-0.013055375556939287,0.17877990637171112,1,9,413.5582096660582,415.0,,410.0,
2022-01-05,394.74,395.89,384.03,384.29,75739800,-0.030721113829545788,-0.03120290027477018,0.18164679526896657,2,8,407.53501344902605,409.0,,416.0,
2022-01-06,382.42,387.35,380.13,384.02,70814300,-0.0007025943948582025,-0.000702841329970304,0.18113468054702928,3,7,394.4762902446232,395.0,1.0,414.0,
2022-01-07,384.03,385.76,378.04,379.86,72652300,-0.01083276912660791,-0.010891870780680239,0.18012700145794205,4,6,393.4080028883907,394.0,,413.0,0.0
2022-01-10,374.82,380.64,369.31,380.11,91770500,0.0006581372084453196,0.0006579207311287267,0.17997646318994642,0,10,391.8229934698446,393.0,,411.0,
2022-01-11,379.36,385.99,377.22,385.82,68295700,0.015021967325247854,0.014910254944524382,0.180508994023405,1,9,391.4478606918149,392.0,,411.0,
2022-01-12,388.46,390.2,385.01,387.35,54576400,0.003965579804053876,0.003957737618168435,0.18037990168237353,2,8,396.6933800761752,398.0,,415.0,
2022-01-13,388.77,389.47,376.7,377.66,77994000,-0.025016135278172147,-0.025334357124479623,0.182240853560608,3,7,397.54485693477193,399.0,1.0,409.0,
